model,type,composition,similarity,compsim,layer,pearsoncor,spearman
bert-base-uncased,Transformer,Cos,Cls,CosCls,0,0.1254720807984914,0.06623529642820358
bert-base-uncased,Transformer,Cos,Cls,CosCls,1,0.1396874499521738,0.187869131565094
bert-base-uncased,Transformer,Cos,Cls,CosCls,2,0.13757675340363826,0.1713661402463913
bert-base-uncased,Transformer,Cos,Cls,CosCls,3,0.14170430478492413,0.16815070807933807
bert-base-uncased,Transformer,Cos,Cls,CosCls,4,0.14194261038187886,0.1675318479537964
bert-base-uncased,Transformer,Cos,Cls,CosCls,5,0.155364615434611,0.18425394594669342
bert-base-uncased,Transformer,Cos,Cls,CosCls,6,0.16942403645638,0.1919676810503006
bert-base-uncased,Transformer,Cos,Cls,CosCls,7,0.16732504134446916,0.1923222690820694
bert-base-uncased,Transformer,Cos,Cls,CosCls,8,0.18043054647374485,0.20134130120277405
bert-base-uncased,Transformer,Cos,Cls,CosCls,9,0.20398522474496,0.2229234278202057
bert-base-uncased,Transformer,Cos,Cls,CosCls,10,0.2229049767574029,0.23984290659427643
bert-base-uncased,Transformer,Cos,Cls,CosCls,11,0.23906095156023746,0.2533937990665436
bert-base-uncased,Transformer,Cos,Cls,CosCls,12,0.25617349894673447,0.2656809985637665
bert-base-uncased,Transformer,Cos,Avg,CosAvg,0,0.5843191101991887,0.6015598773956299
bert-base-uncased,Transformer,Cos,Avg,CosAvg,1,0.682618680017546,0.6918255090713501
bert-base-uncased,Transformer,Cos,Avg,CosAvg,2,0.6573614880256293,0.6721256971359253
bert-base-uncased,Transformer,Cos,Avg,CosAvg,3,0.6425547206888209,0.6547554135322571
bert-base-uncased,Transformer,Cos,Avg,CosAvg,4,0.6204499579620336,0.6340447068214417
bert-base-uncased,Transformer,Cos,Avg,CosAvg,5,0.6219738062143578,0.6334640979766846
bert-base-uncased,Transformer,Cos,Avg,CosAvg,6,0.612494201562834,0.6221691370010376
bert-base-uncased,Transformer,Cos,Avg,CosAvg,7,0.614527345139046,0.6223443746566772
bert-base-uncased,Transformer,Cos,Avg,CosAvg,8,0.6075425899114522,0.6130388379096985
bert-base-uncased,Transformer,Cos,Avg,CosAvg,9,0.5807853777760068,0.5846222043037415
bert-base-uncased,Transformer,Cos,Avg,CosAvg,10,0.5877986742960971,0.589907705783844
bert-base-uncased,Transformer,Cos,Avg,CosAvg,11,0.5938070358842669,0.5990078449249268
bert-base-uncased,Transformer,Cos,Avg,CosAvg,12,0.591719421028397,0.5927402973175049
bert-base-uncased,Transformer,Cos,Sum,CosSum,0,0.584319120987703,0.6015598773956299
bert-base-uncased,Transformer,Cos,Sum,CosSum,1,0.6826186890235028,0.6918270587921143
bert-base-uncased,Transformer,Cos,Sum,CosSum,2,0.6573614799506157,0.672124981880188
bert-base-uncased,Transformer,Cos,Sum,CosSum,3,0.6425547406041306,0.6547554135322571
bert-base-uncased,Transformer,Cos,Sum,CosSum,4,0.6204499895215173,0.6340447068214417
