model,type,composition,similarity,compsim,layer,pearsoncor,spearman
fasttext-wiki-news-subwords-300,Static,Cos,Cls,CosCls,1,0.1858226690419379,0.1777070015668869
fasttext-wiki-news-subwords-300,Static,Cos,Avg,CosAvg,1,0.34998439865603614,0.44082027673721313
fasttext-wiki-news-subwords-300,Static,Cos,Sum,CosSum,1,0.3499844004773757,0.44082391262054443
fasttext-wiki-news-subwords-300,Static,Cos,F_ind,CosF_ind,1,0.3487312029413307,0.4174607992172241
fasttext-wiki-news-subwords-300,Static,Cos,F_joint,CosF_joint,1,0.30348602360831767,0.3706718683242798
fasttext-wiki-news-subwords-300,Static,Cos,F_inf,CosF_inf,1,0.3352866176894335,0.39931461215019226
fasttext-wiki-news-subwords-300,Static,Euc,Cls,EucCls,1,0.20348735794047762,0.1830660104751587
fasttext-wiki-news-subwords-300,Static,Euc,Avg,EucAvg,1,0.41579633236405417,0.4668831527233124
fasttext-wiki-news-subwords-300,Static,Euc,Sum,EucSum,1,0.26992847636909745,0.2881782650947571
fasttext-wiki-news-subwords-300,Static,Euc,F_ind,EucF_ind,1,0.36762590440471876,0.37990042567253113
fasttext-wiki-news-subwords-300,Static,Euc,F_joint,EucF_joint,1,0.3744509832455894,0.3821222186088562
fasttext-wiki-news-subwords-300,Static,Euc,F_inf,EucF_inf,1,0.36880784649798815,0.37303975224494934
fasttext-wiki-news-subwords-300,Static,Icm,Cls,IcmCls,1,0.14527532834917933,0.13610580563545227
fasttext-wiki-news-subwords-300,Static,Icm,Avg,IcmAvg,1,0.023016218998629778,0.04022734984755516
fasttext-wiki-news-subwords-300,Static,Icm,Sum,IcmSum,1,0.10075127841488586,0.03752544894814491
fasttext-wiki-news-subwords-300,Static,Icm,F_ind,IcmF_ind,1,0.07673639594827701,0.04250456020236015
fasttext-wiki-news-subwords-300,Static,Icm,F_joint,IcmF_joint,1,0.08093709796579066,0.08025358617305756
fasttext-wiki-news-subwords-300,Static,Icm,F_inf,IcmF_inf,1,0.07490286861806712,0.047926466912031174
