model,type,composition,similarity,compsim,layer,pearsoncor,spearman
glove-twitter-25,Static,Cos,Cls,CosCls,1,0.14834155828966494,0.1920175850391388
glove-twitter-25,Static,Cos,Avg,CosAvg,1,0.3308010091888856,0.4226606488227844
glove-twitter-25,Static,Cos,Sum,CosSum,1,0.33080087128784935,0.42265796661376953
glove-twitter-25,Static,Cos,F_ind,CosF_ind,1,0.33744722162583624,0.3976782262325287
glove-twitter-25,Static,Cos,F_joint,CosF_joint,1,0.2727432904730996,0.32442358136177063
glove-twitter-25,Static,Cos,F_inf,CosF_inf,1,0.3113333208090895,0.363497257232666
glove-twitter-25,Static,Euc,Cls,EucCls,1,0.208984714104164,0.19948819279670715
glove-twitter-25,Static,Euc,Avg,EucAvg,1,0.4770000630934263,0.4911404550075531
glove-twitter-25,Static,Euc,Sum,EucSum,1,0.14839042818184126,0.20804426074028015
glove-twitter-25,Static,Euc,F_ind,EucF_ind,1,0.3200372404207198,0.3343786895275116
glove-twitter-25,Static,Euc,F_joint,EucF_joint,1,0.3178569940714583,0.3155481517314911
glove-twitter-25,Static,Euc,F_inf,EucF_inf,1,0.3131215256181445,0.3170441687107086
glove-twitter-25,Static,Icm,Cls,IcmCls,1,0.05779134376131169,0.060628268867731094
glove-twitter-25,Static,Icm,Avg,IcmAvg,1,-0.12683794065897036,-0.13954712450504303
glove-twitter-25,Static,Icm,Sum,IcmSum,1,0.06834708276982968,0.009657192043960094
glove-twitter-25,Static,Icm,F_ind,IcmF_ind,1,0.05537948359397938,0.02554902248084545
glove-twitter-25,Static,Icm,F_joint,IcmF_joint,1,0.16084911047759232,0.14416928589344025
glove-twitter-25,Static,Icm,F_inf,IcmF_inf,1,0.1489142444125232,0.09070434421300888
