model,type,composition,similarity,compsim,layer,pearsoncor,spearman
glove-wiki-gigaword-300,Static,Cos,Cls,CosCls,1,0.19608409858537879,0.19365736842155457
glove-wiki-gigaword-300,Static,Cos,Avg,CosAvg,1,0.5200975038301062,0.5846157073974609
glove-wiki-gigaword-300,Static,Cos,Sum,CosSum,1,0.5200974978501978,0.5846118330955505
glove-wiki-gigaword-300,Static,Cos,F_ind,CosF_ind,1,0.5419129333183904,0.5760093927383423
glove-wiki-gigaword-300,Static,Cos,F_joint,CosF_joint,1,0.5034920408787954,0.5145905613899231
glove-wiki-gigaword-300,Static,Cos,F_inf,CosF_inf,1,0.5374540431020692,0.5578230619430542
glove-wiki-gigaword-300,Static,Euc,Cls,EucCls,1,0.20726546351728434,0.18016183376312256
glove-wiki-gigaword-300,Static,Euc,Avg,EucAvg,1,0.5780948081143502,0.6024996042251587
glove-wiki-gigaword-300,Static,Euc,Sum,EucSum,1,0.33867053527308366,0.36796078085899353
glove-wiki-gigaword-300,Static,Euc,F_ind,EucF_ind,1,0.4759497393786774,0.4737403094768524
glove-wiki-gigaword-300,Static,Euc,F_joint,EucF_joint,1,0.4330583299976831,0.4307149648666382
glove-wiki-gigaword-300,Static,Euc,F_inf,EucF_inf,1,0.4462245145409641,0.4411974251270294
glove-wiki-gigaword-300,Static,Icm,Cls,IcmCls,1,0.19327714292701237,0.1930893063545227
glove-wiki-gigaword-300,Static,Icm,Avg,IcmAvg,1,0.19670051465773586,0.18837560713291168
glove-wiki-gigaword-300,Static,Icm,Sum,IcmSum,1,0.14262729980977126,0.0736662819981575
glove-wiki-gigaword-300,Static,Icm,F_ind,IcmF_ind,1,0.20572896938121216,0.16394087672233582
glove-wiki-gigaword-300,Static,Icm,F_joint,IcmF_joint,1,0.403055195097752,0.4309377670288086
glove-wiki-gigaword-300,Static,Icm,F_inf,IcmF_inf,1,0.26251686888028736,0.2352534681558609
