model,type,composition,similarity,compsim,layer,pearsoncor,spearman
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,0,0.12256551810229332,0.11141831427812576
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,1,0.13749633394616562,0.1853836327791214
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,2,0.14854759291513572,0.18266655504703522
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,3,0.15852290304465708,0.19358351826667786
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,4,0.16765781854914893,0.19903436303138733
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,5,0.18201665358767982,0.2181548774242401
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,6,0.20617744458041282,0.259132444858551
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,7,0.2176061441332027,0.26187822222709656
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,8,0.22063254198136847,0.2637697756290436
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,9,0.24748453510069165,0.28879693150520325
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,10,0.33796591947760074,0.3495289087295532
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,11,0.4537830700426027,0.45161616802215576
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Cls,CosCls,12,0.7484213777365067,0.7479680776596069
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,0,0.736397940062391,0.7359657883644104
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,1,0.6963003760412604,0.7028917670249939
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,2,0.6420843180313248,0.6525000929832458
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,3,0.627452701160612,0.6414778232574463
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,4,0.6358884502720218,0.6528035998344421
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,5,0.6147190713633383,0.640023946762085
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,6,0.6212613763869597,0.6494539976119995
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,7,0.6331387035422539,0.6577553153038025
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,8,0.6795977421125257,0.698134183883667
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,9,0.692566930393778,0.714037299156189
mspy-twitter-paraphrase-embeddings,Transformer,Cos,Avg,CosAvg,10,0.7705760787787004,0.7761821746826172
