model,type,composition,similarity,compsim,layer,pearsoncor,spearman
roberta-base,Transformer,Cos,Cls,CosCls,0,0.10690088563822873,0.07737592607736588
roberta-base,Transformer,Cos,Cls,CosCls,1,0.10469325548010171,0.1450885832309723
roberta-base,Transformer,Cos,Cls,CosCls,2,0.11573283596160358,0.14214470982551575
roberta-base,Transformer,Cos,Cls,CosCls,3,0.1380035891941865,0.1736920028924942
roberta-base,Transformer,Cos,Cls,CosCls,4,0.1526175432921245,0.18529418110847473
roberta-base,Transformer,Cos,Cls,CosCls,5,0.15614546512555366,0.1878846287727356
roberta-base,Transformer,Cos,Cls,CosCls,6,0.16407520947387597,0.1919693797826767
roberta-base,Transformer,Cos,Cls,CosCls,7,0.1627576481758906,0.19161853194236755
roberta-base,Transformer,Cos,Cls,CosCls,8,0.16889270151895358,0.20114699006080627
roberta-base,Transformer,Cos,Cls,CosCls,9,0.17190668912441354,0.2040466070175171
roberta-base,Transformer,Cos,Cls,CosCls,10,0.1825515540614599,0.21951161324977875
roberta-base,Transformer,Cos,Cls,CosCls,11,0.1881793148680415,0.22696450352668762
roberta-base,Transformer,Cos,Cls,CosCls,12,0.18699596960279485,0.22339534759521484
roberta-base,Transformer,Cos,Avg,CosAvg,0,0.555799935643006,0.5840467810630798
roberta-base,Transformer,Cos,Avg,CosAvg,1,0.5304789001813307,0.5806115865707397
roberta-base,Transformer,Cos,Avg,CosAvg,2,0.5794101974872523,0.6116361021995544
roberta-base,Transformer,Cos,Avg,CosAvg,3,0.6354847108009596,0.6494661569595337
roberta-base,Transformer,Cos,Avg,CosAvg,4,0.6343331961030513,0.64748615026474
roberta-base,Transformer,Cos,Avg,CosAvg,5,0.6290859991254352,0.6421679258346558
roberta-base,Transformer,Cos,Avg,CosAvg,6,0.6179760340792276,0.6323942542076111
roberta-base,Transformer,Cos,Avg,CosAvg,7,0.6507563362092791,0.6658138632774353
roberta-base,Transformer,Cos,Avg,CosAvg,8,0.6453465735209791,0.6599112749099731
roberta-base,Transformer,Cos,Avg,CosAvg,9,0.6409758045306506,0.658436119556427
roberta-base,Transformer,Cos,Avg,CosAvg,10,0.626358244688706,0.6498516798019409
roberta-base,Transformer,Cos,Avg,CosAvg,11,0.6312789000422417,0.6607915163040161
roberta-base,Transformer,Cos,Avg,CosAvg,12,0.6215944310723184,0.6491366028785706
roberta-base,Transformer,Cos,Sum,CosSum,0,0.5557999500021286,0.5840467810630798
roberta-base,Transformer,Cos,Sum,CosSum,1,0.5304790893307294,0.5806114077568054
roberta-base,Transformer,Cos,Sum,CosSum,2,0.5794104719891405,0.6116361021995544
roberta-base,Transformer,Cos,Sum,CosSum,3,0.635485125042595,0.6494714617729187
roberta-base,Transformer,Cos,Sum,CosSum,4,0.634332989987105,0.6474905610084534
roberta-base,Transformer,Cos,Sum,CosSum,5,0.6290860564526817,0.6421679258346558
roberta-base,Transformer,Cos,Sum,CosSum,6,0.6179758371392001,0.6323894262313843
roberta-base,Transformer,Cos,Sum,CosSum,7,0.6507559973787321,0.6658155918121338
roberta-base,Transformer,Cos,Sum,CosSum,8,0.6453466995593525,0.6599112153053284
roberta-base,Transformer,Cos,Sum,CosSum,9,0.6409761869301016,0.6584389209747314
roberta-base,Transformer,Cos,Sum,CosSum,10,0.6263577515860471,0.6498465538024902
roberta-base,Transformer,Cos,Sum,CosSum,11,0.6312790560740259,0.660788893699646
roberta-base,Transformer,Cos,Sum,CosSum,12,0.6215944616386342,0.6491339802742004
roberta-base,Transformer,Cos,F_ind,CosF_ind,0,0.5129018959798158,0.5338611602783203
roberta-base,Transformer,Cos,F_ind,CosF_ind,1,0.4577604435677032,0.48846355080604553
roberta-base,Transformer,Cos,F_ind,CosF_ind,2,0.4434784920825197,0.46486684679985046
roberta-base,Transformer,Cos,F_ind,CosF_ind,3,0.48395908700850626,0.4974784553050995
roberta-base,Transformer,Cos,F_ind,CosF_ind,4,0.48511878672677544,0.49577879905700684
roberta-base,Transformer,Cos,F_ind,CosF_ind,5,0.4804503894018834,0.49081045389175415
roberta-base,Transformer,Cos,F_ind,CosF_ind,6,0.47401016343854635,0.4850502610206604
roberta-base,Transformer,Cos,F_ind,CosF_ind,7,0.5181274322512875,0.5252459645271301
roberta-base,Transformer,Cos,F_ind,CosF_ind,8,0.5143797781661295,0.5195372700691223
roberta-base,Transformer,Cos,F_ind,CosF_ind,9,0.5128251054380042,0.5182654857635498
roberta-base,Transformer,Cos,F_ind,CosF_ind,10,0.494759864854901,0.5058894753456116
roberta-base,Transformer,Cos,F_ind,CosF_ind,11,0.49985739082024216,0.515631377696991
roberta-base,Transformer,Cos,F_ind,CosF_ind,12,0.5076805558512969,0.5221464037895203
roberta-base,Transformer,Cos,F_joint,CosF_joint,0,0.40586893828569276,0.40671050548553467
roberta-base,Transformer,Cos,F_joint,CosF_joint,1,0.3053324802148437,0.3156372308731079
roberta-base,Transformer,Cos,F_joint,CosF_joint,2,0.2751181905469166,0.294472336769104
roberta-base,Transformer,Cos,F_joint,CosF_joint,3,0.30480380127522844,0.33709806203842163
roberta-base,Transformer,Cos,F_joint,CosF_joint,4,0.32005727802493045,0.3595122992992401
roberta-base,Transformer,Cos,F_joint,CosF_joint,5,0.309133401640701,0.3608890175819397
roberta-base,Transformer,Cos,F_joint,CosF_joint,6,0.32789924297400364,0.3700283467769623
roberta-base,Transformer,Cos,F_joint,CosF_joint,7,0.38731638117418504,0.4241451621055603
roberta-base,Transformer,Cos,F_joint,CosF_joint,8,0.3722955912104547,0.4225773215293884
roberta-base,Transformer,Cos,F_joint,CosF_joint,9,0.36234205383938506,0.41337746381759644
roberta-base,Transformer,Cos,F_joint,CosF_joint,10,0.343688601505135,0.39735108613967896
roberta-base,Transformer,Cos,F_joint,CosF_joint,11,0.3698201917156822,0.4028276801109314
roberta-base,Transformer,Cos,F_joint,CosF_joint,12,0.3927040471434882,0.42150112986564636
roberta-base,Transformer,Cos,F_inf,CosF_inf,0,0.4826379168945415,0.4954972565174103
roberta-base,Transformer,Cos,F_inf,CosF_inf,1,0.3829863953080977,0.39941534399986267
roberta-base,Transformer,Cos,F_inf,CosF_inf,2,0.3294054489764707,0.34766116738319397
roberta-base,Transformer,Cos,F_inf,CosF_inf,3,0.3499251790509876,0.3682553470134735
roberta-base,Transformer,Cos,F_inf,CosF_inf,4,0.3530992010030074,0.3730420172214508
roberta-base,Transformer,Cos,F_inf,CosF_inf,5,0.3478749710462802,0.3705032467842102
roberta-base,Transformer,Cos,F_inf,CosF_inf,6,0.3548126769055022,0.37502506375312805
roberta-base,Transformer,Cos,F_inf,CosF_inf,7,0.40890299386796153,0.4217449426651001
roberta-base,Transformer,Cos,F_inf,CosF_inf,8,0.4019944614784303,0.4163968861103058
roberta-base,Transformer,Cos,F_inf,CosF_inf,9,0.3961792037872516,0.41075459122657776
roberta-base,Transformer,Cos,F_inf,CosF_inf,10,0.3708368336344677,0.39468348026275635
roberta-base,Transformer,Cos,F_inf,CosF_inf,11,0.38116352083962124,0.4026210308074951
roberta-base,Transformer,Cos,F_inf,CosF_inf,12,0.40207298456796126,0.42207175493240356
roberta-base,Transformer,Euc,Cls,EucCls,0,0.10928923172223891,0.07474731653928757
roberta-base,Transformer,Euc,Cls,EucCls,1,0.13123604796021499,0.15312767028808594
roberta-base,Transformer,Euc,Cls,EucCls,2,0.14194982467630698,0.14726726710796356
roberta-base,Transformer,Euc,Cls,EucCls,3,0.16504795907165853,0.17687459290027618
roberta-base,Transformer,Euc,Cls,EucCls,4,0.17702844958392125,0.18686166405677795
roberta-base,Transformer,Euc,Cls,EucCls,5,0.1808861113423982,0.18970859050750732
roberta-base,Transformer,Euc,Cls,EucCls,6,0.1873197801526795,0.1935214400291443
roberta-base,Transformer,Euc,Cls,EucCls,7,0.18930443464096766,0.19400790333747864
roberta-base,Transformer,Euc,Cls,EucCls,8,0.19765903812810848,0.2023269534111023
roberta-base,Transformer,Euc,Cls,EucCls,9,0.2000250930409562,0.2052759975194931
roberta-base,Transformer,Euc,Cls,EucCls,10,0.21084258088140087,0.2205723226070404
roberta-base,Transformer,Euc,Cls,EucCls,11,0.21619708441330934,0.22672836482524872
roberta-base,Transformer,Euc,Cls,EucCls,12,0.20697511252959344,0.22023659944534302
roberta-base,Transformer,Euc,Avg,EucAvg,0,0.6107640906958798,0.6149648427963257
roberta-base,Transformer,Euc,Avg,EucAvg,1,0.6266847764734031,0.6342871785163879
roberta-base,Transformer,Euc,Avg,EucAvg,2,0.6329963725844435,0.6403687596321106
roberta-base,Transformer,Euc,Avg,EucAvg,3,0.6582470367261161,0.6636962890625
