model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,0,0.12258020436421617,0.09462519735097885
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,1,0.13107228916121721,0.21464413404464722
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,2,0.14241434395628644,0.19077709317207336
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,3,0.1557432798329667,0.1961866021156311
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,4,0.16841278568122597,0.21378859877586365
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,5,0.15210771707767878,0.21289503574371338
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Cls,CosCls,6,0.5167231692507024,0.5088351964950562
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,0,0.6590427959000359,0.66774982213974
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,1,0.6533370945851075,0.6702767610549927
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,2,0.624302986381157,0.6462820172309875
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,3,0.6094105374928563,0.6298404932022095
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,4,0.6400994467490319,0.6679671406745911
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,5,0.7314103892636995,0.7617486715316772
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Avg,CosAvg,6,0.869619456588788,0.8667284846305847
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,0,0.6590428011861044,0.667747437953949
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,1,0.6533371099949404,0.6702767610549927
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,2,0.6243029885455,0.6462820172309875
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,3,0.609410554735344,0.6298404932022095
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,4,0.6400994464642833,0.6679671406745911
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,5,0.7314103954582721,0.7617493867874146
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,Sum,CosSum,6,0.869619460822859,0.8667284846305847
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,0,0.6516760422722265,0.6598150134086609
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,1,0.615977272827602,0.6301060914993286
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,2,0.5833842137408745,0.5954086184501648
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,3,0.5775107525823716,0.5809022784233093
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,4,0.6142920773275977,0.6239311695098877
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,5,0.7047416028223829,0.7239000797271729
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_ind,CosF_ind,6,0.8619486956340854,0.8570650219917297
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,0,0.6355620699763324,0.642859160900116
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,1,0.5417251561726036,0.5500889420509338
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,2,0.5021974872887637,0.5081939101219177
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,3,0.5111735558750364,0.5051215291023254
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,4,0.5545014613097478,0.5479170083999634
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,5,0.64063351741192,0.6449323892593384
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_joint,CosF_joint,6,0.8456407677468746,0.8381416201591492
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,0,0.647570801217241,0.6555283069610596
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,1,0.5935622652538127,0.6055939197540283
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,2,0.5546677458171612,0.5630531311035156
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,3,0.5516645803032533,0.5494680404663086
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,4,0.5909627151231858,0.5933901071548462
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,5,0.6824234941150131,0.6947952508926392
sentence-transformers-all-MiniLM-L6-v2,Transformer,Cos,F_inf,CosF_inf,6,0.8556889141509972,0.8497551083564758
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,0,0.12217732652690794,0.08663643896579742
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,1,0.1429697855179288,0.2072504162788391
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,2,0.1611943281864122,0.1878983974456787
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,3,0.17043075324497486,0.185821071267128
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,4,0.1789267801030158,0.1968148946762085
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,5,0.14357100818525761,0.17943213880062103
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,6,0.29185151757805367,0.36808642745018005
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,0,0.6702215525951227,0.6788780689239502
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,1,0.677303410774296,0.6818092465400696
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,2,0.6822922442075751,0.6840059161186218
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,3,0.6947351566459183,0.6960349678993225
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,4,0.7123897058203941,0.714151918888092
