model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,0,0.11331595808492569,0.07478925585746765
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,1,0.11236831227022458,0.16367468237876892
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,2,0.13522865651115118,0.17354412376880646
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,3,0.14254008802474097,0.18905076384544373
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,4,0.1698271596181756,0.22733378410339355
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,5,0.27127789542800507,0.3176621198654175
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Cls,CosCls,6,0.6948024093542454,0.6955424547195435
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,0,0.5948925898599676,0.6162068247795105
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,1,0.6206704130348129,0.6473432779312134
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,2,0.6938690568440251,0.706665575504303
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,3,0.7034849986459111,0.7198683023452759
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,4,0.686898749442384,0.7240127325057983
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,5,0.7662921014498372,0.7978009581565857
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Avg,CosAvg,6,0.882934054054253,0.8826262354850769
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,0,0.5948926411151155,0.6162049174308777
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,1,0.6206705664768096,0.6473432779312134
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,2,0.6938695125046405,0.7066659331321716
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,3,0.7034850430823186,0.7198707461357117
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,4,0.6868985212559555,0.7240102291107178
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,5,0.7662921382008416,0.797796368598938
sentence-transformers-all-distilroberta-v1,Transformer,Cos,Sum,CosSum,6,0.8829340504894428,0.8826262354850769
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,0,0.5791340679919434,0.5968917608261108
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,1,0.5203438319099282,0.5368493795394897
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,2,0.5706828868333099,0.5774316191673279
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,3,0.5906351782029853,0.5971450209617615
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,4,0.605823712355884,0.613486111164093
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,5,0.7328494307263664,0.7406256198883057
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_ind,CosF_ind,6,0.8782584539744143,0.8749664425849915
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,0,0.5219694290951917,0.5291865468025208
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,1,0.3530173740779746,0.3682780861854553
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,2,0.39040982887188636,0.4219043254852295
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,3,0.4131075793398533,0.44317594170570374
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,4,0.4914130484558344,0.5058723092079163
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,5,0.6947090741784152,0.696582019329071
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_joint,CosF_joint,6,0.8668955475901866,0.8613963723182678
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_inf,CosF_inf,0,0.5662249903457529,0.5813388228416443
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_inf,CosF_inf,1,0.42732085146880805,0.4364851713180542
sentence-transformers-all-distilroberta-v1,Transformer,Cos,F_inf,CosF_inf,2,0.44520265199465014,0.45465412735939026
