model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,0,0.12261917406518362,0.11759091913700104
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,1,0.13726227099270874,0.1846001297235489
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,2,0.14899423924609936,0.18305577337741852
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,3,0.1591735135086304,0.1947597712278366
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,4,0.16528671180337706,0.1961241364479065
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,5,0.17676347906381615,0.2131493240594864
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,6,0.19990054449832176,0.2514481246471405
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,7,0.20518516780369156,0.24903829395771027
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,8,0.20861697893172998,0.251787930727005
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,9,0.22774527720487173,0.27237364649772644
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,10,0.2927875402280163,0.30820682644844055
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,11,0.4070707588234395,0.4078059494495392
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Cls,CosCls,12,0.7513815157567303,0.7478695511817932
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,0,0.7366178309361243,0.7361735701560974
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,1,0.6948355239077361,0.70187908411026
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,2,0.6376144741928904,0.6498860716819763
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,3,0.6201913038597555,0.6359820365905762
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,4,0.6391059419878717,0.655193567276001
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,5,0.6282321259966305,0.6509853005409241
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,6,0.6340468856968686,0.6583662629127502
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,7,0.6420573980964372,0.6629772186279297
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,8,0.6841025673870847,0.7007912397384644
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,9,0.6923727603874722,0.7132424116134644
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,10,0.7904654656125648,0.7956311106681824
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,11,0.8451771427666194,0.8569632768630981
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,12,0.8806252624519294,0.8805750012397766
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,0,0.7366178266505885,0.7361735701560974
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,1,0.6948355165705453,0.70187908411026
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,2,0.6376144736042113,0.6498860716819763
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,3,0.6201913127862924,0.6359820365905762
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,4,0.6391059373939713,0.655193567276001
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,5,0.6282321270384995,0.6509853005409241
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,6,0.6340468948174496,0.6583662629127502
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,7,0.6420573866428577,0.6629772186279297
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,8,0.6841025686480607,0.7007912397384644
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,9,0.6923727748686642,0.7132424116134644
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,10,0.7904654613886545,0.7956311106681824
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,11,0.8451771516892425,0.8569631576538086
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,Sum,CosSum,12,0.8806252659887002,0.880577802658081
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,0,0.7384665412637652,0.737007200717926
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,1,0.6904660369925433,0.6936476230621338
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,2,0.6349750863082582,0.6390463709831238
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,3,0.624148596808309,0.6279727816581726
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,4,0.6276916898749659,0.6299607157707214
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,5,0.6273398538619392,0.631836473941803
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,6,0.6295863688482807,0.6360873579978943
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,7,0.6369893651498543,0.6432623267173767
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,8,0.6704780304411591,0.6740387678146362
