model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,0,0.12217889277289129,0.08889593929052353
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,1,0.1287477834670167,0.18854859471321106
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,2,0.1390338649148246,0.20149806141853333
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,3,0.14469506087326423,0.19218027591705322
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,4,0.15551282832621788,0.1994267851114273
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,5,0.17449683839143654,0.23466917872428894
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,6,0.18752722136380107,0.2501736879348755
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,7,0.21258520150098553,0.2744303047657013
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,8,0.2230531309346967,0.2818710505962372
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,9,0.22527706853930346,0.28758564591407776
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,10,0.25820378163519625,0.31204861402511597
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,11,0.4088093510000558,0.41894587874412537
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Cls,CosCls,12,0.5084331796589966,0.5083624720573425
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,0,0.6438112596200031,0.6546821594238281
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,1,0.6498545767924144,0.6638322472572327
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,2,0.6498787714706998,0.6676530838012695
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,3,0.6586705228670511,0.6761395335197449
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,4,0.6786411232690773,0.6937291622161865
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,5,0.6986071387518324,0.713348925113678
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,6,0.7016910604322312,0.7185207605361938
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,7,0.7206330238910396,0.7380129098892212
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,8,0.7389956096889309,0.7550756931304932
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,9,0.7603555421633093,0.785408616065979
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,10,0.7918842088197576,0.814132034778595
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,11,0.858707878542031,0.8690680861473083
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Avg,CosAvg,12,0.8748244055022151,0.876189649105072
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Sum,CosSum,0,0.6438112416569762,0.6546821594238281
sentence-transformers-paraphrase-MiniLM-L12-v2,Transformer,Cos,Sum,CosSum,1,0.6498545818318411,0.6638322472572327
