model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,0,0.10500104738344954,0.11511320620775223
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,1,0.1063308636408373,0.17051014304161072
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,2,0.10683374238296911,0.15379516780376434
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,3,0.11482886884576021,0.14473707973957062
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,4,0.12881703477100262,0.16200724244117737
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,5,0.15011606073836367,0.18320438265800476
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,6,0.18630898669433185,0.22499002516269684
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,7,0.20055568617130262,0.24046091735363007
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,8,0.2205049059206263,0.26224738359451294
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,9,0.25647127179050994,0.2915017306804657
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,10,0.3074323972687765,0.3363833427429199
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,11,0.39675656290571754,0.430581271648407
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Cls,CosCls,12,0.6707015602473461,0.6767929196357727
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,0,0.6194125491676745,0.6262465119361877
sentence-transformers-paraphrase-multilingual-mpnet-base-v2,Transformer,Cos,Avg,CosAvg,1,0.6311202216898373,0.6389036178588867
