model,type,composition,similarity,compsim,layer,pearsoncor,spearman
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,0,0.12350131182301169,0.09153185784816742
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,1,0.12302722091572753,0.15773773193359375
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,2,0.12210114279024278,0.17089006304740906
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,3,0.11301784213705694,0.1615298092365265
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,4,0.12598337532017448,0.16022850573062897
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,5,0.13247325096979834,0.1685134917497635
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,6,0.14284380383437376,0.18259087204933167
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,7,0.13156278994240345,0.1731387823820114
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,8,0.12632779361668178,0.17226728796958923
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,9,0.120440407795814,0.16734831035137177
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,10,0.12162625765158537,0.16046033799648285
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,11,0.12066450132144153,0.15893326699733734
w601sxs-b1ade-embed,Transformer,Cos,Cls,CosCls,12,0.12104243032766702,0.1542263925075531
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,0,0.6080478549363134,0.6290125250816345
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,1,0.6595334834635193,0.6829463243484497
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,2,0.6854936035288786,0.7054070234298706
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,3,0.6720867790875669,0.6969631314277649
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,4,0.6833163290134492,0.7017393112182617
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,5,0.6949205492322407,0.7067335247993469
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,6,0.6904780713229602,0.6985887885093689
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,7,0.6530043418632046,0.676047682762146
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,8,0.6559881340911907,0.6865350604057312
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,9,0.6497051931653842,0.6891136169433594
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,10,0.6499067480729639,0.6887848377227783
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,11,0.6349956928504839,0.67011958360672
w601sxs-b1ade-embed,Transformer,Cos,Avg,CosAvg,12,0.6361542906060345,0.6632775664329529
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,0,0.608047859686295,0.6290127038955688
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,1,0.659533553342397,0.6829463243484497
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,2,0.6854935771420249,0.7054070234298706
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,3,0.6720865982708258,0.6969611048698425
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,4,0.683316185275152,0.7017409205436707
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,5,0.6949205829615408,0.7067335247993469
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,6,0.6904780526333483,0.69858717918396
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,7,0.6530043327600468,0.6760464310646057
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,8,0.6559881717260917,0.6865357756614685
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,9,0.6497051998021084,0.6891157031059265
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,10,0.6499068540507565,0.6887794733047485
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,11,0.6349956637857223,0.670117974281311
w601sxs-b1ade-embed,Transformer,Cos,Sum,CosSum,12,0.6361544466440503,0.6632769703865051
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,0,0.6077901738067673,0.6251797080039978
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,1,0.63674415756359,0.6476433277130127
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,2,0.6418573685876722,0.6503708958625793
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,3,0.6166684114160215,0.6259215474128723
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,4,0.6298144074367804,0.6363210082054138
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,5,0.6578583992630938,0.6616495847702026
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,6,0.68237295803867,0.6812852621078491
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,7,0.6306081360042716,0.6382554173469543
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,8,0.6238082257011124,0.6357161402702332
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,9,0.5977115787301708,0.6125736832618713
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,10,0.5880839930518952,0.6027981042861938
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,11,0.5701408742429309,0.5835571885108948
w601sxs-b1ade-embed,Transformer,Cos,F_ind,CosF_ind,12,0.5686839029459183,0.5784416198730469
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,0,0.5854251607724592,0.5966522693634033
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,1,0.5403518949638308,0.5389509201049805
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,2,0.5093837488422944,0.5064238905906677
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,3,0.4644772322347976,0.46342697739601135
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,4,0.48950252637151237,0.48651254177093506
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,5,0.546054190137273,0.5400199890136719
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,6,0.6152564174961437,0.6103242635726929
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,7,0.5290987661167149,0.5242531299591064
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,8,0.5036341843113357,0.5012770295143127
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,9,0.44890257138120354,0.4507717490196228
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,10,0.4310013751915848,0.4349440932273865
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,11,0.41426647988413756,0.41988885402679443
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,12,0.41593744736381605,0.41998812556266785
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,0,0.6056657428576949,0.6209025382995605
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,1,0.6074242585920578,0.613601803779602
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,2,0.5944961557780005,0.5990002751350403
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,3,0.5559160579563694,0.5594364404678345
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,4,0.5768445388806173,0.5787621736526489
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,5,0.6191483320667057,0.6203088164329529
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,6,0.6638257737387941,0.6607183218002319
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,7,0.5972387410199933,0.6001086831092834
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,8,0.5809382296383315,0.5860985517501831
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,9,0.5369155291600946,0.5430008769035339
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,10,0.5195446957866943,0.5258805155754089
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,11,0.5001852299186982,0.5054131150245667
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,12,0.499164331417998,0.5025604963302612
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,0,0.1230673831955465,0.08726878464221954
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,1,0.13172185175624926,0.15155033767223358
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,2,0.1290437529970316,0.15750952064990997
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,3,0.12200923765145034,0.14534634351730347
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,4,0.13070938980560806,0.14652909338474274
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,5,0.13518446109281151,0.1546066403388977
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,6,0.14432357428707332,0.16531716287136078
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,7,0.14679299813839206,0.16736021637916565
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,8,0.13696941689529893,0.16119009256362915
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,9,0.13369572967523974,0.15624038875102997
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,10,0.13491028009743072,0.15111875534057617
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,11,0.13948220261521133,0.15240170061588287
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,12,0.14028960538781626,0.1481589525938034
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,0,0.6345534451526806,0.6441690325737
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,1,0.6859208937096964,0.6934434175491333
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,2,0.701672593790497,0.7093663215637207
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,3,0.6926892723757279,0.7011660933494568
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,4,0.6899439351193153,0.6983916759490967
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,5,0.7002375454426496,0.7081584930419922
